source_id,physical_watch_id,tilt_deg,angle_deg,n_edge_pixels,resid_vs_ticksonly_H_px,implied_canonical_radius_via_ticksonly_H
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,45.00,4,9.003,0.9845
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,67.50,5,8.562,0.9839
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,82.50,8,1.512,1.0081
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,90.00,14,4.307,1.0162
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,97.50,7,5.349,1.0256
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,105.00,5,3.293,1.0206
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,112.50,11,5.497,1.0187
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,120.00,8,5.678,1.0227
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,127.50,3,5.997,1.0262
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,135.00,3,7.264,1.0265
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,157.50,9,8.077,1.0357
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,165.00,8,5.405,1.0239
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,172.50,10,2.699,1.0169
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,180.00,16,3.601,1.0212
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-172.50,13,4.110,1.0050
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-165.00,8,5.139,1.0240
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-157.50,11,1.484,1.0103
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-150.00,14,3.779,1.0227
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-142.50,13,2.609,1.0177
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-135.00,10,6.774,1.0322
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-127.50,13,2.152,1.0168
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-120.00,16,3.287,1.0211
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-112.50,10,6.944,1.0337
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-105.00,6,8.577,1.0391
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-97.50,8,6.357,1.0313
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-90.00,7,8.570,1.0389
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-82.50,6,8.629,1.0389
rep_cf_bpdi5xV,rep_cf_bpdi5xV,4.008,-75.00,8,8.620,1.0387
